Updated at,item_number,item_name,revision,procurement_type,unit_of_measure,category_name,lifecycle_phase,vendor,Product Alias,Parent Product LPN,Parent Product Name,CM,Product Usage per ESS,Flat Qty,Sourcing Flat Qty
08-04-2026,10-006582,CAP CER 1000PF 2KV X7R 1206,1,OTS,Each,Electrical Components,In Production,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-004545,ESS Top Cover LRG Asy,5,MTS,Each,Part,In Production,A//JPOND,HW Kit,90-001223,"20kWh Hardware Kit, Lunar Blue",Sienna,1,1,1
08-04-2026,10-004545,ESS Top Cover LRG Asy,5,MTS,Each,Part,In Production,A//JPOND,LFP HW Kit,90-07290A,20kWh LFP ESS Hardware Kit,Sienna,1,1,0
08-04-2026,10-001735,CAP CER 1UF 100V X7R 1206 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,1
08-04-2026,10-001735,CAP CER 1UF 100V X7R 1206 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-001722,CAP CER 10000PF 50V X8R 0603,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Power PCBA (IPC),10-06105C,"PCBA, Power Board, Type C, Coated",Qualitel,1,5,5
08-04-2026,10-001722,CAP CER 10000PF 50V X8R 0603,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Maximizer Box,90-06831D,"Maximizer, Boxed",Sienna,1,20,20
08-04-2026,10-001722,CAP CER 10000PF 50V X8R 0603,1,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,5,5
08-04-2026,10-001105,RES SMD 30K OHM 1% 1/10W 0402 AEC-Q,1,OTS,Each,Electrical Components,In Production,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,3,3
08-04-2026,10-001105,RES SMD 30K OHM 1% 1/10W 0402 AEC-Q,1,OTS,Each,Electrical Components,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,3,3
08-04-2026,10-001105,RES SMD 30K OHM 1% 1/10W 0402 AEC-Q,1,OTS,Each,Electrical Components,In Production,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,3,3
08-04-2026,10-000595,CAP CER 22UF 16V X7R 1210 AEC-Q,2,OTS,Each,Electrical Components,Sunset - Phase Out,,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,4,4
08-04-2026,10-000595,CAP CER 22UF 16V X7R 1210 AEC-Q,2,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,2,2
08-04-2026,10-000595,CAP CER 22UF 16V X7R 1210 AEC-Q,2,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,2,0
08-04-2026,10-005169,"DC Contactor Cover, D",3,MTS,Each,Part,In Production,A//JPOND,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-005151,"Potted Wire Passthrough and Inductor Housing, Inverter Power Module, D",4,MTS,Each,Part,In Production,GS//Avnet,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-005004,RES SMD 7.5 OHM 5% 3W 5322,2,OTS,Each,Electrical Components,Sunset - Phase Out,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,4,4
08-04-2026,10-005004,RES SMD 7.5 OHM 5% 3W 5322,2,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,4,4
08-04-2026,10-005027,"Filter Board Base, Die Cast, Inverter, D",4,MTS,Each,Part,In Production,A//MyHeatSinks,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-004660,CAP FILM 0.033UF 20% 1.5KVDC RAD,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,2,2
08-04-2026,10-004660,CAP FILM 0.033UF 20% 1.5KVDC RAD,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,2,0
08-04-2026,10-004856,CAP CER 10UF 25V X7S 0805,1,OTS,Each,Electrical Components,In Production,,Power PCBA (IPC),10-06105C,"PCBA, Power Board, Type C, Coated",Qualitel,1,4,4
08-04-2026,10-004856,CAP CER 10UF 25V X7S 0805,1,OTS,Each,Electrical Components,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,4,4
08-04-2026,10-004856,CAP CER 10UF 25V X7S 0805,1,OTS,Each,Electrical Components,In Production,,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,4,4
