part_lpn,override_type,override_value,reason
10-006989,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001716,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-007004,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001714,lunar_onorder_qty,112000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006823,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001173,lunar_onorder_qty,5000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-06958A,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-005406,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004540,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-005579,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003488,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006872,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006582,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001007,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001720,lunar_onorder_qty,32000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006177,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006149,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000560,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006887,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-07268A,lunar_onorder_qty,7,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001711,lunar_onorder_qty,12000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006659,lunar_onorder_qty,745,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006678,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003215,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003418,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-07384A,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-06971A,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001065,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
