cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Sienna,10-004565,CAP FILM 3.3UF 10% 310VAC RADIAL,IN_PRODUCTION,2027-02-15,2367.1612903225796,14302.0,0.0,9.6 KW Inverter
Sienna,10-002907,IC REG LINEAR 5V 500MA TO263-7-1,IN_PRODUCTION,2027-02-22,558.3870967741937,2298.0,0.0,9.6 KW Inverter
Sienna,10-004567,RELAY GEN PURPOSE DPDT 8A 120V,IN_PRODUCTION,2027-02-22,609.3870967741937,2904.0,0.0,9.6 KW Inverter
Sienna,10-002877,CONN HEADER SMD 8POS 2.5MM,IN_PRODUCTION,2027-02-22,645.3870967741932,4911.0,0.0,9.6 KW Inverter
Sienna,10-002472,IC REG BUCK ADJUSTABLE 3A 8SO,IN_PRODUCTION,2027-02-22,3224.9354838709696,24557.0,0.0,9.6 KW Inverter
Sienna,10-001068,CAP CER 2.2UF 25V X7R 0805 AEC-Q,IN_PRODUCTION,2027-02-22,3989.709677419356,34905.0,0.0,9.6 KW Inverter
Sienna,10-000857,TRANSFORMER SMD,IN_PRODUCTION,2027-02-22,10106.258064516129,9650.0,2000.0,"9.6 KW Inverter, Bridge"
Sienna,10-002732,FERRITE BEAD 1 KOHM 1206 1LN AEC-Q,IN_PRODUCTION,2027-02-22,23167.806451612894,78520.0,0.0,"9.6 KW Inverter, Bridge"
Qualitel,10-06970A,"Vent Valve, IP67, M12x1.5",IN_PRODUCTION,2027-02-22,55239.35483870968,2540.0,4800.0,2.1 LFP Block
Qualitel,10-07730A,"SCREW, M5-0.8X10, Hex Flg HD, SEALING, STL+ZNNI",IN_PRODUCTION,2027-02-22,387409.48387096776,32126.0,0.0,2.1 LFP Block
Sienna,10-003099,CAP ALUM POLY 82UF 20% 50V SMD AEC-Q,IN_PRODUCTION,2027-02-22,14897.709677419356,36233.0,1500.0,"9.6 KW Inverter, Bridge"
Sienna,10-002917,FIXED IND 220UH 8.8A 36.45 MOHM AEC-Q,IN_PRODUCTION,2027-03-01,2958.290322580645,4700.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-004359,"Exhaust Duct,Inverter",IN_PRODUCTION,2027-03-01,485.3870967741932,2571.0,0.0,9.6 KW Inverter
Sienna,10-06684A,"Ground Bar, Power Module, 4 Terminal",IN_PRODUCTION,2027-03-01,540.3870967741937,3066.0,0.0,9.6 KW Inverter
Sienna,10-002491,IC TRNSLTR BIDIRECTIONAL 20TSSOP AEC-Q100,IN_PRODUCTION,2027-03-01,1042.7741935483864,10070.0,0.0,9.6 KW Inverter
Sienna,10-000999,RES SMD 1K OHM 1% 1/3W 0603 AEC-Q,IN_PRODUCTION,2027-03-01,2040.5483870967728,20185.0,0.0,9.6 KW Inverter
Qualitel,10-06915A,"Plug, Conduit, Sealing, Stepped, 1/2""",IN_PRODUCTION,2027-03-01,2965.4516129032263,2241.0,0.0,MSAC
Sienna,10-001688,RES SMD 1 OHM 5% 1/2W 1210,IN_PRODUCTION,2027-03-01,2547.9354838709696,25234.0,0.0,9.6 KW Inverter
Sienna,10-000625,CRYSTAL 16.0000MHZ 12PF SMD AEC-Q,IN_PRODUCTION,2027-03-01,5373.193548387097,9623.0,3000.0,"9.6 KW Inverter, Bridge"
Sienna,10-004805,"RTV Silicone Sealant, Single Part, Electronics Grade",IN_PRODUCTION,2027-03-01,8693.391495471282,40765.189149690006,0.0,9.6 KW Inverter
Qualitel,10-07272A,"Packaging, MSA Controller, Primary Support",IN_PRODUCTION,2027-03-01,3015.4516129032263,3191.0,0.0,MSAC
Sienna,10-002167,RES SMD 4.7K OHM 1% 1/10W 0603 AEC-Q,IN_PRODUCTION,2027-03-01,9394.12903225806,92290.0,0.0,9.6 KW Inverter
Sienna,10-000660,RES 120 OHM 1% 1/2W 1206 AEC-Q,IN_PRODUCTION,2027-03-01,15310.483870967742,59133.0,20000.0,"9.6 KW Inverter, Bridge"
Qualitel,10-003722,CAP CER 9PF 50V C0G 0402 AEC-Q,IN_PRODUCTION,2027-03-01,52481.35483870968,21938.0,0.0,2.1 LFP Block
Qualitel,10-006146,"Bushing, DCDC",ON_ORDER_ONLY,2027-03-01,54419.35483870968,0.0,0.0,2.1 LFP Block
Sienna,10-005169,"DC Contactor Cover, D",IN_PRODUCTION,2027-03-08,425.38709677419365,3131.0,0.0,9.6 KW Inverter
Sienna,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,IN_PRODUCTION,2027-03-08,691.7741935483864,8741.0,0.0,9.6 KW Inverter
Sienna,10-000621,DGTL ISO 5000VRMS 5CH GP 16SOIC,IN_PRODUCTION,2027-03-08,845.7741935483864,10267.0,0.0,9.6 KW Inverter
Sienna,10-004564,TRANS PNP 40V 0.2A SC75 SOT416,IN_PRODUCTION,2027-03-08,1143.1612903225796,15526.0,0.0,9.6 KW Inverter
Sienna,10-002165,RES SMD 2.2K OHM 1% 1/8W 0603 AEC-Q,IN_PRODUCTION,2027-03-08,1187.1612903225796,15482.0,0.0,9.6 KW Inverter
Sienna,10-004496,OPTOISO 3.75KV TRANS 4-MINI-FLAT,IN_PRODUCTION,2027-03-08,1415.5483870967728,17810.0,0.0,9.6 KW Inverter
Sienna,10-000941,Diode Schottky 40V 3A 2-Pin,IN_PRODUCTION,2027-03-08,2494.322580645159,30844.0,0.0,9.6 KW Inverter
Sienna,10-001195,IC OPAMP ZER-DRIFT 1CIRC SOT23-5,IN_PRODUCTION,2027-03-08,2545.322580645161,9793.0,0.0,9.6 KW Inverter
Sienna,10-000729,"Interface Circuit, CMOS, PDSO8",IN_PRODUCTION,2027-03-08,3882.451612903227,23063.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-002919,CAP ALUM POLY 8.2UF 20% 250V T/H,IN_PRODUCTION,2027-03-08,15248.387096774197,22420.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-003591,FIXED IND 47UH 600MA 780MOHM SMD,IN_PRODUCTION,2027-03-08,21512.161290322583,26029.0,0.0,"9.6 KW Inverter, Bridge"
Qualitel,10-005579,RES 0 OHM JUMPER 1/16W 0402,IN_PRODUCTION,2027-03-08,33857.41935483871,20620.0,0.0,MSAC
Qualitel,10-001720,CAP CER 0.22UF 50V X7R 0603,IN_PRODUCTION,2027-03-08,76915.93548387097,59691.0,0.0,"2.1 LFP Block, Power PCBA (IPC)"
Qualitel,10-004813,CAP CER 4.7UF 25V X6S 0603,IN_PRODUCTION,2027-03-08,102549.70967741936,46289.0,0.0,2.1 LFP Block
