,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
3361,Sienna,10-001007,RES 10 OHM 1% 1/16W 0402,Electrical Components,23390,0,0.0014461090886461931,CM On-Hand,0,0,0.005,Active in Both,CM Depletion,34,33,32,31,29,29,28,27,27,27,27,27,27
3362,Qualitel,10-001007,RES 10 OHM 1% 1/16W 0402,Electrical Components,8749,0,0.0014461090886461931,CM On-Hand,0,0,0.005,Active in Both,CM Depletion,13,12,12,11,11,11,11,11,11,11,11,11,11
3363,Lunar,10-001007,RES 10 OHM 1% 1/16W 0402,Electrical Components,0,0,0.0014461090886461931,CM On-Hand,0,8050,0.005,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3364,Lunar,10-002266,CAP CER 0.1UF 50V X7R 0603,Electrical Components,0,0,0,,646,0,0.02,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3365,Sienna,10-001711,FBead 0603 3A 30mOhm SMD,Electrical Components,23620,0,0.014499999999999999,CM On-Hand,0,0,0.011307692307692309,Active in Both,CM Depletion,355,306,260,212,171,135,101,73,69,69,69,69,69
3366,Qualitel,10-001711,FBead 0603 3A 30mOhm SMD,Electrical Components,12072,0,0.014499999999999999,CM On-Hand,0,0,0.011307692307692309,Active in Both,CM Depletion,182,156,138,120,104,102,102,102,102,102,102,102,102
3367,Lunar,10-001711,FBead 0603 3A 30mOhm SMD,Electrical Components,0,0,0.014499999999999999,CM On-Hand,0,13000,0.011307692307692309,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3368,Lunar,60-06569A,60-06569A Lunar MSA Controller_1 Production PCBA,Non-Production Part,0,0,0,,12,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3369,Sienna,10-004497,CAP CER 0.022UF 630V X7R 1206,Electrical Components,17616,32000,0.01858070157133616,CM On-Hand,0,0,0.0723,Active in Both,CM Depletion,366,240,715,593,488,395,309,238,228,228,228,228,228
3370,Qualitel,10-004497,CAP CER 0.022UF 630V X7R 1206,Electrical Components,30305,0,0.01858070157133616,CM On-Hand,0,0,0.0723,Active in Both,CM Depletion,579,514,469,422,381,375,375,375,375,375,375,375,375
3371,Lunar,10-004497,CAP CER 0.022UF 630V X7R 1206,Electrical Components,0,0,0.01858070157133616,CM On-Hand,598,22351,0.0723,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3372,Qualitel,10-008504A,,,514,0,2.75,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3373,Lunar,10-008504A,,,0,0,2.75,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3374,Qualitel,10-002816,"Screw and washer,M5 x 13,SEMS,BHT T-25,Steel,ZiNi BC,Nylon Patch",Part,27170,32190,0.10193526580307213,CM On-Hand,6776,0,0.17,Active in Both,CM Depletion,2770,2248,2746,1727,707,0,0,0,0,0,0,0,0
3375,Lunar,10-002816,"Screw and washer,M5 x 13,SEMS,BHT T-25,Steel,ZiNi BC,Nylon Patch",Part,0,0,0.10193526580307213,CM On-Hand,0,0,0.17,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3376,Celestica,10-002816,"Screw and washer,M5 x 13,SEMS,BHT T-25,Steel,ZiNi BC,Nylon Patch",Part,1084,0,0.10193526580307213,CM On-Hand,0,0,0.17,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
