product_lpn,period_start,qty
90-08373A,2027-01-01,3000
90-08373A,2027-02-01,5000
90-08373A,2027-03-01,5000
90-08373A,2027-04-01,5800
90-08373A,2027-05-01,6000
90-08373A,2027-06-01,6000
90-08373A,2027-07-01,6000
90-08373A,2027-08-01,6500
90-08373A,2027-09-01,6500
90-08373A,2027-10-01,7000
90-08373A,2027-11-01,7500
90-08373A,2027-12-01,7500
90-08603A,2026-09-01,0
90-08603A,2026-10-01,0
90-08603A,2026-11-01,0
90-08603A,2026-12-01,0
90-08603A,2027-01-01,100
90-08603A,2027-02-01,100
90-08603A,2027-03-01,100
90-08603A,2027-04-01,200
90-08603A,2027-05-01,200
90-08603A,2027-06-01,200
90-08603A,2027-07-01,200
90-08603A,2027-08-01,250
90-08603A,2027-09-01,250
90-08603A,2027-10-01,250
90-08603A,2027-11-01,250
90-08603A,2027-12-01,250
