Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-25-2026,Lunar Netsuite,10-002588,10-002588,RES 0 OHM JUMPER 1/20W 0201,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,60000,0,0.0011,66,0,0,Unrestricted,60000
08-25-2026,CM: Sienna GA,10-002590 REV-05,10-002590,"Insulator, Load Tray, Bridge",Part,MTS,ATLN,LINE,FALSE,Sienna Corporation,1583,0,0.14,221.62,0,5,Unrestricted,1583
08-25-2026,CM: Sienna GA,10-002590 REV-05,10-002590,"Insulator, Load Tray, Bridge",Part,MTS,ATLN,RR18,FALSE,Sienna Corporation,1110,0,0.14,155.4,0,5,Unrestricted,1110
08-25-2026,CM: Sienna GA,10-002591 REV-01,10-002591,DIODE ZENER 5.23V 960MW DO219AC,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,1975,0,0,0,0,1,Unrestricted,1975
08-25-2026,CM: Sienna GA,C10-002591 REV-01,10-002591,DIODE ZENER 5.23V 960MW DO219AC,Electrical Components,OTS,ATLN,RECV,TRUE,Lunar Energy,0,0,0,0,0,1,Unrestricted,0
08-25-2026,Lunar Netsuite,10-002592,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,Taoglas,NS,FALSE,Lunar Energy,540,0,1.9,1026,0,0,Unrestricted,540
08-25-2026,Lunar Netsuite,10-002592,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,JIT - Reno,NS,FALSE,Lunar Energy,6035,0,1.9,11466.5,0,0,Unrestricted,6035
08-25-2026,CM: Sienna GA,10-002592 REV-02,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,ATLN,LINE,FALSE,Sienna Corporation,16,0,3.6,57.6,0,2,Unrestricted,16
08-25-2026,CM: Sienna GA,10-002592 REV-02,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,ATLN,MAIN,FALSE,Sienna Corporation,778,0,3.6,2800.8,0,2,Unrestricted,778
08-25-2026,CM: Sienna GA,10-002592 REV-02,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,ATLN,INRE,FALSE,Sienna Corporation,283,0,3.6,1018.8,0,2,Unrestricted,283
08-25-2026,CM: Sienna GA,10-002592 REV-02,10-002592,"CONN, PLUG SOCKET, SEALED COAX, 4POS, W2W, TE",Part,OTS,ATLN,RIQC,FALSE,Sienna Corporation,218,0,3.6,784.8,0,2,Unrestricted,218
08-25-2026,Lunar Netsuite,10-002593,10-002593,"CONTACT, CENTER SOCKET, MATE-AX, RTK 031, TE",Part,OTS,Taoglas,NS,FALSE,Lunar Energy,30000,0,0.115,3450,0,0,Unrestricted,30000
08-25-2026,Lunar Netsuite,10-002594,10-002594,"CONTACT, OUTER SOCKET, MATE-AX, RTK 031, TE",Part,OTS,Taoglas,NS,FALSE,Lunar Energy,4565,0,0.5097,2326.7805,0,0,Unrestricted,4565
08-25-2026,CM: Sienna GA,10-002595 REV-02,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,OTS,ATLN,LPAC,FALSE,Sienna Corporation,3545,0,0.2,709,0,2,Unrestricted,3545
08-25-2026,CM: Sienna GA,10-002595 REV-02,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,OTS,ATLN,LINE,FALSE,Sienna Corporation,4013,0,0.2,802.6,0,2,Unrestricted,4013
08-25-2026,CM: Sienna GA,10-002595 REV-02,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10355,0,0.2,2071,0,2,Unrestricted,10355
08-25-2026,Lunar Netsuite,10-002595,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,OTS,Taoglas,NS,FALSE,Lunar Energy,1502,0,0.3009,451.9518,0,0,Unrestricted,1502
08-25-2026,Lunar Netsuite,10-002597,10-002597,"CONTACT, CRIMP FERRULE, MATE-AX, RTK 031, TE",Part,OTS,Taoglas,NS,FALSE,Lunar Energy,3267,0,0.0772,252.2124,0,0,Unrestricted,3267
08-25-2026,CM: Sienna GA,10-002599 REV-04,10-002599,"Support, S1/S2 Lugs, Bridge",Part,MTS,ATLN,LINE,FALSE,Sienna Corporation,2123,0,0.4809,1020.9507,0,4,Unrestricted,2123
08-25-2026,CM: Sienna GA,10-002599 REV-04,10-002599,"Support, S1/S2 Lugs, Bridge",Part,MTS,ATLN,RK42,FALSE,Sienna Corporation,340,0,0.4809,163.506,0,4,Unrestricted,340
