part,description,source,source_report,rows,extended_value
30-07320C,Maximizer 2.0 C2000 Variant,onhand,Lunar Netsuite,1,1460.3008
10-06951A,"Screw, M4x0.7, 10mm L, Steel, ZiNi, Nylon Patch",onhand,CM: Qualitel WA,1,1440.0
10-008504A,,onhand,CM: Qualitel WA,1,1435.5
10-001355,MOSFET N CH 30V 3.5A 2-3Z1A,onorder,Lunar Netsuite,2,1379.76
10-001135,RES 100 mOHM 1% 1/5W 0603,onhand,Lunar Netsuite,2,1360.5
10-001208,IC BAT LIFEPO4/LI-ION 3-16C TQFP,onorder,Lunar Netsuite,1,1321.5
10-002817,SENSOR OPT 560NM AMBIENT 6WSOF,onorder,Lunar Netsuite,2,1321.2
10-001331,IC VREF SHUNT 2% SOT23,onhand,Lunar Netsuite,1,1320.0
10-005940,RES SMD 5M OHM 5% 1W 2512,onhand,CM: Sienna GA,1,1316.64
20-005240,Inverter - Power PCB Type A,onhand,CM: Sienna GA,1,1295.07
10-002271,Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A D2PAK,onhand,Lunar Netsuite,1,1286.5
10-002227,"Nut, M3, Hex, SS",onhand,CM: Sienna GA,1,1270.346
10-006722,CAP CER 33NF 650V C0G 1812 AEC-Q,onhand,Lunar Netsuite,1,1260.0
10-001979,CRYSTAL 25.0000MHZ 20PF SMD,onhand,Lunar Netsuite,1,1257.2
10-08385A,"Brkt, Emboss, Press-Brake, RH",onorder,Lunar Netsuite,1,1200.0
10-08129A,"Brkt, Emboss, Press-Brake, LH",onorder,Lunar Netsuite,1,1200.0
10-002002,CAP CER 10UF 50V X7S 1210,onorder,Lunar Netsuite,1,1192.0
10-004628,Automotive Compliant Low Knee Current 3.3V Voltage Reference AEC-Q,onhand,CM: Sienna GA,1,1170.288
10-005140,"Terminal Board with Conformal Coat, Inverter, D",onhand,Lunar Netsuite,1,1131.46
10-002382,RES SMD 2.2 OHM 5% 1/10W 0402,onhand,Lunar Netsuite,2,1120.0
10-000846,RES 5.1K OHM 0.1% 1/16W 0402,onhand,Lunar Netsuite,1,1100.0
10-001810,Safety Capacitors 300Vol 0.0022uF 10% LS=7.5mm AECQ2,onorder,Lunar Netsuite,1,1080.0
10-003415,MOSFET N-CH 55V 5A SOT223,onhand,Lunar Netsuite,1,1071.25
10-000577,"General Purpose Inductor, 0.0056uH, 2%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,1064.0
10-001685,RES SMD 845K OHM 1% 1/4W 1206,onorder,Lunar Netsuite,1,1057.0
10-000568,CAP CER 5.6PF 50V C0G/NP0 0402 AEC-Q,onhand,Lunar Netsuite,2,1040.0
10-001812,Safety Capacitors 1.00UF 330V,onorder,Lunar Netsuite,1,1020.0
10-08440A,RES 390K OHM 1% 1/2W PULSE WITHSTANDING 1206 AEC-Q,onhand,Lunar Netsuite,1,1015.8085
10-005597,"Wire, WHT, 10AWG High Flex, UL Listed as AWM, 105C",onhand,CM: Sienna GA,1,1014.0
90-06533A,"Battery With Cover and Brackets, Boxed, Lunar Blue,HU",onhand,CM: Celestica MX,1,1006.52
10-001134,RES SMD 169K OHM 1% 1/10W 0603 AEC-Q,onhand,Lunar Netsuite,1,1006.5
