LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
10-005260,"Gasket, Power Module, Perimeter Seal, Wi",Hazel Gomes,"Marian, Inc",Each,ME Non critical,3500,-,-, $ 6.330 ,,,2025/08/07
10-005278,"Inverter Heat Sink, With Heat Pipe, D",Tejas Dixit,MyHeatSinks,Each,ME critical,3000,-,-, $ 83.500 ,,,2026/01/14
10-005282,"Insulator Sheet, Power Board, Lower Leve",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 0.850 ,,,2025/08/28
10-005284,"Packaging, Maximizer Hub",Hazel Gomes,Veritiv Corp,Each,ME Non critical,7000,-,-, $ 1.070 ,,,2025/08/25
10-005294,"TIM, PCBA, Filter Board, Inverter, D",Hazel Gomes,Suzhou DL packing Material,Each,ME Non critical,7000,-,-, $ 0.360 ,,,2025/08/28
10-005300,"Seal, Exhaust Duct, Adhesive Backed, Str",Hazel Gomes,"Marian, Inc",Each,ME Non critical,7000,-,-, $ 1.200 ,,,2025/08/07
10-005303,"Foam Gasket, Protective Hat, Capacitance",Hazel Gomes,"Marian, Inc",Each,ME Non critical,3500,-,-, $ 1.050 ,,,2025/08/07
10-005304,"Foam Strip, 40mm L, Protective Hat, D",Hazel Gomes,"Marian, Inc",Each,ME Non critical,3500,-,-, $ 0.660 ,,,2025/08/07
10-005306,"Foam Strip, 18mm L, Protective Hat, D",Hazel Gomes,"Marian, Inc",Each,ME Non critical,10500,-,-, $ 0.350 ,,,2025/08/07
10-005307,"Foam Strip, 140mm L, Protective Hat, D",Hazel Gomes,"Marian, Inc",Each,ME Non critical,3500,-,-, $ 0.840 ,,,2025/08/07
10-005310,"Heat Shield, Light Pipe Trio",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 0.140 ,,,2025/09/17
10-005382,"Packaging, ESS Hardware Kit 20kWh",Hazel Gomes,Veritiv Corp,Each,ME Non critical,1000,-,-, $ 5.830 ,,,2025/06/24
10-005385,"Label, Packaging, Single Serial Number",[Label - Sienna Printed],In-house,Each,ME Non critical,-,-,-, $ 0.050 ,,,Sienna Managed
10-005481,"Wire Harness, Earth Ground Sense, Bridge",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 1.330 ,,,2025/10/01
10-005570,"Screw, Plastic-Threading, M4.5, Steel",Hazel Gomes,MCMASTER CARR,Each,ME Non critical,,-,-, - ,,,
10-005577,"Cable Tie, Locking, Black, 50lbs, Nylon,",[MRO Part],Open market,Each,ME Non critical,-,-,-, $ 0.040 ,,,Sienna Managed
10-005633,"Front Door Hinge, Sheet Metal, Inverter",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 2.320 ,,,2025/09/17
10-005762,"Inverter Packaging, Box",Hazel Gomes,Veritiv Corp,Each,ME Non critical,1000,-,-, $ 12.110 ,,,2025/08/05
10-005763,"Inverter Packaging, V Board",Hazel Gomes,Veritiv Operating Company,Each,ME Non critical,-,-,-, - ,,,2025/08/05
10-005828,"Top Cover Gasket, Filter Board, Inverter",Hazel Gomes,"Marian, Inc",Each,ME Non critical,3500,-,-, $ 4.460 ,,,2025/08/07
10-005831,"HARNESS,JMPR,NANO-FIT,2 POS",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 1.260 ,,,2025/10/01
10-005843,"Wire Harness,Inverter,Antenna Pass-Thru-",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 2.820 ,,,2025/10/01
10-005846,"Wire Harness, AFCI, Power Module",Rita Lin,KG Technologies,Each,ME critical,,10000,-, $ 1.660 ,,,2026/01/20
10-005851,Bridge- RSC Shipping Box,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 5.410 ,,,2025/10/31
10-005852,"Packaging, Bridge, Front Cap Pad",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,10500,-,-, $ 0.550 ,,,2025/10/31
10-005853,"Packaging, Bridge, Front Cap Frame",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,17500,-,-, $ 0.480 ,,,2025/10/31
10-005854,"Packaging, Bridge, Front Cap Wrap",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 2.270 ,,,2025/10/31
10-005855,"Packaging, Bridge, Back Cap Wrap",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 2.270 ,,,2025/10/31
10-005856,"Packaging, Bridge, Back Cap Frame",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,17500,-,-, $ 0.500 ,,,2025/10/31
10-005857,"Packaging, Bridge, Back Cap Pad",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,10500,-,-, $ 0.520 ,,,2025/10/31
10-005858,"Packaging, Bridge, Top Cover Frame",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 3.100 ,,,2025/10/31
10-005859,"Packaging, Bridge, Top Cover Support",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 1.590 ,,,2025/10/31
10-005860,"Packaging, Bridge, Top Cover Support Pad",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 0.850 ,,,2025/10/31
10-005861,"Packaging, Bridge, Top Pad",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3500,-,-, $ 0.610 ,,,2025/10/31
10-005864,1 275 B Flute Size:15 3/8” x 23 ” x 0,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,1500,-,-, $ 1.080 ,,,2025/10/31
10-005865,2 275 B Flute Size:16 ¾”x11”1/4x0,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,16500,-,-, $ 0.470 ,,,2025/10/31
10-005866,3 275 B Flute Size :14 3/4”23”x0,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,1500,-,-, $ 1.410 ,,,2025/10/31
10-005867,4 275 B Flute Size:22 ¾””x 23”x 0”,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,3000,-,-, $ 1.490 ,,,2025/10/31
10-005868,5 275 BC Flute Size: 16” ¾ x 22 15/16”,Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,1500,-,-, $ 1.670 ,,,2025/10/31
10-005869,"6 275 Box Flute:23”3/16”x17-1/8”x11""",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,1500,-,-, $ 6.110 ,,,2025/10/31
10-005887,"Wall Bracket Assembly, Inverter",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 13.320 ,,,2025/11/14
10-005905,"Kit, Installation, Inverter",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 0.950 ,,,2025/09/17
10-005953,Loctite EA E-60HP Epoxy Structural Adhes,[MRO Part],ELLSWORTH ADHESIVES,Milliliter,ME Non critical,-,-,-, $ 0.360 ,,,Sienna Managed
10-006069,"Label, Compliance, ESS",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,7000,-,-, $ 0.217 ,,,2025/07/30
10-006072,"Screw, SEMS, M3x0.5x6, T10, Square-Cone",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.030 ,,,2026/02/19
10-006073,"Screw, SEMS, M3x0.5x8, T10, Square-Cone",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.031 ,,,2026/02/19
10-006074,M3X10MM TX-PN-SQCN-SEMS-MS-SS-P-SMALL WA,Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.025 ,,,2026/02/19
10-006075,SCREW DELTA PT 50x1.80-14.00 T25 TORX RECESS WASHER PAN HEAD,Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.043 ,,,2025/09/17
10-006085,"Inverter Packaging, Foam SET",Hazel Gomes,Veritiv Corp,Each,ME Non critical,1000,-,-, $ 32.710 ,,,2025/08/05
10-006086,"Inverter Packaging, Foam, Top, Left, V2",Hazel Gomes,Veritiv Operating Company,Each,ME Non critical,-,-,-, - ,,,2025/08/05
10-006087,"Inverter Packaging, Foam, Bottom, Right, V2",Hazel Gomes,Veritiv Operating Company,Each,ME Non critical,-,-,-, - ,,,2025/08/05
10-006088,"Inverter Packaging, Foam, Bottom, Left, V2",Hazel Gomes,Veritiv Operating Company,Each,ME Non critical,-,-,-, - ,,,2025/08/05
10-006096,"Inverter Cover Packaging, Corrugated Ins",Hazel Gomes,Veritiv Operating Company,Each,ME Non critical,1000,-,-, $ 1.180 ,,,2025/08/05
10-006108,"Label, Overcurrent Device, Bridge",Hazel Gomes,STEPHEN GOULD,Each,ME Non critical,7000,-,-, $ 0.237 ,,,2025/07/30
10-006109,"Label, Traceability, 22mmX10mm",[Label - Sienna Printed],THOMCO SPECIALTY PRODUCTS,Each,ME Non critical,-,-,-, $ 0.050 ,,,Sienna Managed
10-006231,"Thermal Gap Filler, Curing, 6.5 W/mK, Tw",Hazel Gomes,AUSP,Milliliter,ME Non critical,114,-,-, $ 0.310 ,,,2025/08/08
